question,answer
What is Residual Cash Earnings (RCE)?,"Residual Cash Earnings or “RCE” is a simple and comprehensive measure that will provide better insights into where value is being created or destroyed as it “dollarizes” into one metric the trade-offs between growth, returns and cash flow. RCE tells you whether the value of your outputs exceed the value of your inputs and compares that value creation to what you could have generated had you invested in another alternative. RCE is a cash-based measure of economic profit where “up is good”, and “down is bad.” Improving RCE is what matters most! We believe this measure will be fundamental in our drive to increase top line growth through innovation, improve margins, and deleverage through better working capital and cash management."
How do I calculate RCE?,"We start with the familiar measure EBITDA (Earnings Before Interest Tax Depreciation and Amortization), add back R&D, and then subtract taxes, which give us “Gross Cash Earnings” (GCE, which is a measure of “profit”).
We then compare this to the capital charge, which represents the required return (or GCE or “profit”) investors expect to achieve given the amount they have invested in the business. The capital charge is investors’ required return of 8.5% multiplied by the Gross Operating Assets (GOA). GOA consists of the operating assets of the business (i.e., Net Working Capital, Gross Property Plant and Equipment, Capitalized R&D). Since we don’t expense R&D, we capitalize 8 years of R&D expense and treat it as an investment. This encourages management to invest in growth but at the same time holds management accountable for generating a return on the R&D that has been invested. 
Finally, subtracting the capital charge from GCE gives us RCE, as shown below, which tells you how much GCE or “profit” you generated relative to the amount of GCE or “profit” investors expected given the amount of GOA they invested in the business. "
"My team is not numerically focused. Is there a way to explain RCE to my team in words, not numbers?","There are a variety of different ways RCE can be explained in words. We have included a number of these below for you to use in discussions with your team depending on the audience: 
- You don’t need to know how to calculate RCE to improve RCE. Acting like an owner and RCE are two sides of the same coin. If you act as a One Company_A owner, RCE will be improved and value will be created, and if you purposefully increase RCE you will be acting like an owner. 
- RCE tells you whether the value of your outputs exceed the value of your inputs and compares that value creation to what you could have generated had you invested in another alternative.
- RCE can explained through a simple laundromat example. Let’s say that over the last 10 years you’ve been invested in the stock market, and the company you have chosen to invest in is a publicly traded laundromat company. You’ve done pretty well with this investment; you’ve earned a return of 8.5% every year.  Sadly, you recently received an inheritance of $1,000 from a distant relative. Because you have studied the laundromat industry and understand the business inside and out, and developed a passion for it, you decide to open your own laundromat with the $1,000 inheritance by investing into the assets needed to start your business (a washer and a dryer). To create value, you must be able to earn a return better than your next best alternative – which in this case, is investing in the public laundromat company with a return of 8.5% or $85 based on your $1,000 investment. Economically speaking, this $85 is the minimum amount of money you would expect to generate to justify starting this new business instead of investing in the public company. It turns out that you were able to generate $311 of “profit” so your RCE is the difference between what you generated in “profit” ($311) versus what “profit” you could have generated in the publicly traded laundromat business ($85). As a result, you generated $226 of RCE ($311 - $85). This is how an owner thinks. If an owner has to provide capital to run a business, that owner expects a return – and the same is true for Company_A and its investors!"
Why is Company_A adopting RCE? How does RCE drive One Company_A?,"RCE will help us continue our journey to a true One Company_A ownership culture, enabling our vision of food and companionship enriching life. RCE is the engine that will drive One Company_A, where improving RCE rewards the following traits of an owner: 
1. Spend money like it’s your own
2. Extreme Prioritization
3. Willingness to fail
4. More doing and less talking
5. Managing both the short and long-term"
What does an ownership culture (or acting like an owner) mean at Company_A?,"Very broadly, an ownership culture is one in which every employee owns their decisions and the results and consequences of their actions. While there are many traits associated with ownership, Fortuna has identified five of the most important: spend money like it’s your own, extreme prioritization, willingness to fail, more doing and less talking, and balancing the long and short-term. Embracing an ownership culture by embodying these traits requires substantial effort but also yields substantial benefits. We also note that an ownership culture dovetails well with Company_A’s Cultural and Behavioral Pillars: 1) Involve, 2) Deliver, 3) Own, 4) Innovate"
"I get this for Company_A as a whole, but how do I make it relevant for my team? Can any individual or cost center in our organization influence RCE? ","Yes! All Company_A employees and teams can directly influence RCE by thinking like an owner in each decision they make in their day-to-day roles. See below for examples of decisions that can benefit from an RCE perspective. Our challenge to you and your team is to think like an owner and about RCE-positive decisions you could make in your business area!
Operating Level
Spend management
Managing inventory
Supplier contract terms
Making an equipment purchase
Distributor payment terms
Timing of purchases

Business-Unit Level
Make versus buy decisions
Managing product lifecycles
Setting product prices
Optimizing sales force
Adding human resources
Streamlining facilities footprint

Corporate Level
Acquiring a business
Divesting non-core assets
Entering a new geography
Entering a new market segment
Allocating capital to R&D
Prioritizing R&D projects

…and many more!"
RCE sounds great but are there other companies using it? ,"In large part, measures like RCE stay uncommon because compensation metrics are often based on competitive pay practices that don’t encourage an ownership mindset. Strategy 101 suggests that any sustainable competitive advantage comes from possessing resources and processes, both tangible and intangible that are difficult to replicate. When realized, a RCE transformation impacts all facets of a business, where long-term value creation becomes the driving force of the organization, touching almost every aspect of business in a beneficial and profound way, that to replicate it or imitate it is very difficult. This provides a competitive advantage that will help a company dominate their respective industry.
A simple search of proxy statements for the terms “economic value added” or as it’s more commonly known, “economic profit,” yields 1,502 companies. In some cases a company will simply list “economic value added” and “economic profit” as a possible performance goal alongside other measures of performance. And although companies may have not fully adopted this measure for incentive compensation purposes, it does suggest that many companies recognize the measure as a viable metric for evaluating and rewarding executive performance.” (Source: CFO.com)
The spectrum of adopters ranges from companies with a back-office analyst that calculates it once a year as a footnote to some obscure analysis that is never seen, to those companies that are compensated on it, trained on it, use it in their daily operating decisions and make it part of the discussion in every high-level executive meeting. One great example is Ball Corporation, that has used an RCE-like measure for approximately 30 years. Varian Medical System implemented their version of RCE to much success (before their well-received recent acquisition), where they almost doubled the value of their business within 3 years. "
Is senior leadership bought in to RCE?,Yes. Senior leadership (and the Board) are fully committed to embracing RCE and an ownership culture. This move is also motivated in part the board’s desire to implement a strong link between compensation and share price performance.
"If I have other questions that aren’t answered here, who can I reach out to?",You can reach out to your manager or your Residual Cash Earnings Senior Advisory Team (ESAT) member (listed below) with any additional questions! 
How do I calculate Company_A’s RCE? Where do I find the information to calculate RCE? Do our systems support RCE?,"Much of the information to calculate RCE can be found in existing systems and/or published financials; however, it will likely take several years for the systems to fully support RCE."
What does a positive versus negative RCE mean? If RCE is negative do we necessarily shut down a project or sell a business?,"RCE represents past performance; negative historical RCE simply means shareholder value was destroyed in the past so if we were making decisions over, we would likely make different choices. However, this does not really matter moving forward because what is most important is the change in RCE. The difference between the RCE of this year and last year represents the sum of all the positive and negative RCE decisions made during the year. A change from negative RCE to less-negative RCE is as important as a change from positive RCE to more-positive RCE of the same magnitude."
Is RCE just another measure that is going to be added to our existing KPIs? ,"No - RCE will become the one metric to drive decision-making across the organization and link value creation with compensation. Companies with too many metrics get pulled in too many directions; attempting to optimize multiple metrics means they’re likely not optimizing any single metric. A core strength of RCE is its ability to help managers balance among traditional metrics such as revenue growth, margins, and capital productivity. RCE correlates more strongly with TSR than any traditional metric and works much better as a period measure, especially below the C-Suite and executive team levels."
Do our old metrics still matter when we switch to RCE?,"Absolutely. Our previous metrics (revenue growth and EBITDA margin) are important drivers of RCE and as a result, they do remain important in an RCE framework. For example, revenue growth and EBITDA margin are drivers of Gross Cash Earnings (the profit metric component of RCE). "
How do we reconcile RCE with our external commitments to investors? ,"Improvement in RCE is consistent with commitments we’ve made to the Street; in fact, EBITDA margin is one of the key drivers of RCE. An RCE framework will likely make it easier to achieve the 31% EBITDA margin by 2024 that we’ve committed to publicly. Eventually, with RCE as the common language we use throughout the company, including in compensation, it will be easier to manage externally. "
